"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shannon G.A.; Cliver B.A.","Shannon, Gregory A. (57191233960); Cliver, Barbara A. (57191231516)","57191233960; 57191231516","An Application of Item Response Theory in the Comparison of Four Conventional Item Discrimination Indices for Criterion‐Referenced Tests","1987","Journal of Educational Measurement","24","4","","347","356","9","2","10.1111/j.1745-3984.1987.tb00285.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988112958&doi=10.1111%2fj.1745-3984.1987.tb00285.x&partnerID=40&md5=c7cb06be26eda6886a82789f05867324","Several recent papers have argued for the usefulness of item response theory (IRT) methods of assessing item discrimination power for criterion‐referenced tests (CRTs). Conventional methods continue to be used more widely, however, for reasons that include some practical constraints associated with the use of IRT methods. To provide users with information that may help them to decide on which conventional indices to employ in evaluating CRT items, Spearman rank‐order correlations were computed between IRT‐derived item information functions (llFs) and four conventional discrimination indices: the phi‐coefficient, the B‐index, phi/phi max, and the agreement statistic. The rank‐order correlations between the phi‐coefficient and the llFs were very high, with a median of .96. The remaining conventional indices, with the exception of phi‐over‐phi‐max, also correlated well with the IIF. Theoretical explanations for these relationships are offered. Copyright © 1987, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988112958"
"Willson V.L.","Willson, Victor L. (7004256565)","7004256565","Cognitive and Developmental Effects on Item Performance in Intelligence and Achievement Tests for Young Children","1989","Journal of Educational Measurement","26","2","","103","119","16","5","10.1111/j.1745-3984.1989.tb00322.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988119072&doi=10.1111%2fj.1745-3984.1989.tb00322.x&partnerID=40&md5=431faf5c5c28f0dfb2a0d7c8d0d8c781","Performance on items in intelligence and achievement tests can be represented in terms of child development and information processes. Research is reviewed on item performance that supports developmental and information processing effects, particularly in children. Some suggestions for item development in intelligence and achievement tests are presented. Copyright © 1989, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988119072"
"McKinley R.L.","McKinley, Robert L. (57167321600)","57167321600","A Comparison of Six Methods for Combining Multiple IRT Item Parameter Estimates","1988","Journal of Educational Measurement","25","3","","233","246","13","6","10.1111/j.1745-3984.1988.tb00305.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988112832&doi=10.1111%2fj.1745-3984.1988.tb00305.x&partnerID=40&md5=0107f7492c66815fca576a719e722f65","Six procedures for combining sets of IRT item parameter estimates obtained from different samples were evaluated using real and simulated response data. In the simulated data analyses, true item and person parameters were used to generate response data for three different‐sized samples. Each sample was calibrated separately to obtain three sets of item parameter estimates for each item. The six procedures for combining multiple estimates were each applied, and the results were evaluated by comparing the true and estimated item characteristic curves. For the real data, the two best methods from the simulation data analyses were applied to three different‐sized samples and the resulting estimated item characteristic curves were compared to the curves obtained when the three samples were combined and calibrated simultaneously. The results support the use of covariance matrix‐weighted averaging and a procedure that involves sample‐size‐weighted averaging of estimated item characteristic curves at the center of the ability distribution Copyright © 1988, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988112832"
"Strenta A.C.; Elliott R.","Strenta, A. Christopher (6506445419); Elliott, Rogers (24568102400)","6506445419; 24568102400","Differential Grading Standards Revisited","1987","Journal of Educational Measurement","24","4","","281","291","10","38","10.1111/j.1745-3984.1987.tb00280.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988091772&doi=10.1111%2fj.1745-3984.1987.tb00280.x&partnerID=40&md5=45a9574c008cf36ff24673411e365fbd","The differential grading standards described by Goldman and Widawski (1976) exist in the same magnitude and in roughly the same order a decade later in a different kind of institution. Major fields that attract as majors students who score higher on SATs employ stricter grading standards. These differential grading standards serve to attenuate the correlation between SAT scores and grades, which is, even in highly selective institutions, substantial. Copyright © 1987, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988091772"
"Tatsuoka K.K.; Linn R.L.; Tatsuoka M.M.; Yamamoto K.","Tatsuoka, Kikumi K. (6603447775); Linn, Robert L. (56126633100); Tatsuoka, Maurice M. (6506443458); Yamamoto, Kentaro (56130477200)","6603447775; 56126633100; 6506443458; 56130477200","Differential Item Functioning Resulting From The Use of Different Solution Strategies","1988","Journal of Educational Measurement","25","4","","301","319","18","27","10.1111/j.1745-3984.1988.tb00310.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988141315&doi=10.1111%2fj.1745-3984.1988.tb00310.x&partnerID=40&md5=33e29e1b229141cccbf5caec80e39d1c","The present study investigates the degree to which item “bias” techniques can lead to interpretable results when groups are defined in terms of specified differences in the cognitive processes involved in students' problem‐solving strategies. A large group of junior high school students who took a test on subtraction of fractions was divided into two subgroups judged by the rule‐space model to be using different problem‐solving strategies. It was confirmed by use of Mantel‐Haenszel (MH) statistics that these subgroups showed different performances on items with different underlying cognitive tasks. We note that, in our case, we are far from faulting items that show differential item functioning (D1F) between two groups defined in terms of different solution strategies. Indeed, they are “desirable” items, as explained in the discussion section Copyright © 1988, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988141315"
"Spray J.A.; Ackerman T.A.; Reckase M.D.; Carlson J.E.","Spray, Judith A. (7006830106); Ackerman, Terry A. (16404476400); Reckase, Mark D. (6602075623); Carlson, James E. (57190052912)","7006830106; 16404476400; 6602075623; 57190052912","Effect of the Medium of Item Presentation on Examinee Performance and Item Characteristics","1989","Journal of Educational Measurement","26","3","","261","271","10","28","10.1111/j.1745-3984.1989.tb00332.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988090449&doi=10.1111%2fj.1745-3984.1989.tb00332.x&partnerID=40&md5=5f4d77ac476ef10f1da55c5f24d06456","Studies that have investigated differences in examinee performance on items administered in paper‐and‐pencil form or on a computer screen have produced equivocal results. Certain item administration procedures were hypothesized to be among the most important variables causing differences in item performance and ultimately in test scores obtained from these different administration media. A study where these item administration procedures were made as identical as possible for each presentation medium is described. In addition, a methodology is presented for studying the difficulty and discrimination of items under each presentation medium as a post hoc procedure. Copyright © 1989, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988090449"
"GULLICKSON A.R.","GULLICKSON, ARLEN R. (6506885439)","6506885439","TEACHER EDUCATION AND TEACHER‐PERCEIVED NEEDS IN EDUCATIONAL MEASUREMENT AND EVALUATION","1986","Journal of Educational Measurement","23","4","","347","354","7","30","10.1111/j.1745-3984.1986.tb00254.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984520713&doi=10.1111%2fj.1745-3984.1986.tb00254.x&partnerID=40&md5=bdafa4e1f2de2d591e3289ffafcaf394","Professors and teachers were compared relative to their perspectives on preservice educational measurement courses. Twenty‐four professors from different colleges in seven states and 360 teachers from elementary and secondary schools in one midwestern state responded via mailed questionnaire. Professors reported the emphasis given to each of eight topics in preservice educational measurement courses, and teachers reported the emphasis they believed should be given to each topic. In five of the eight content areas, the relative emphases given by professors differed from that recommended by teachers. Major differences emerged in nontest evaluation, statistical analysis, and formative and summative evaluation. Implications of these results are discussed. Copyright © 1986, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84984520713"
"Johnson S.T.; Wallace M.B.","Johnson, Sylvia T. (14325044600); Wallace, Michael B. (12807538800)","14325044600; 12807538800","Characteristics of SAT Quantitative Items Showing Improvement After Coaching Among Black Students From Low‐Income Families: An Exploratory Study","1989","Journal of Educational Measurement","26","2","","133","145","12","6","10.1111/j.1745-3984.1989.tb00324.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988103848&doi=10.1111%2fj.1745-3984.1989.tb00324.x&partnerID=40&md5=34c4bb2c380dd2e557e5da3f755e7abc","The present exploratory investigation is an extension of a 1985 study that evaluated a Scholastic Aptitude Test preparation program involving black urban students. The present study was conducted to determine if there are identifiable characteristics of quantitative items associated with a susceptibility to coaching. Items showing p‐value improvements of. 10 after coaching were compared with items not showing such improvements; comparisons were made in terms of the content, type. format, level of cognitive requirement, and position of the items. Items showing improvement were found across content areas, formats, and type. Findings are discussed in relation to the usefulness and improvement of well‐designed supplemental instructional programs that have the potential to affect criterion performance in mathematics Copyright © 1989, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988103848"
"WAINER H.","WAINER, HOWARD (7006218234)","7006218234","CAN A TEST BE TOO RELIABLE?","1986","Journal of Educational Measurement","23","2","","171","173","2","4","10.1111/j.1745-3984.1986.tb00243.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007648262&doi=10.1111%2fj.1745-3984.1986.tb00243.x&partnerID=40&md5=68f6c6d2045172798ad4cf59566f8be0","It is shown that summary statistics that are commonly used to measure test quality (reliability, mean rbis, and mean proportion correct) can be seriously misleading. This is demonstrated and explained. Copyright © 1986, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-85007648262"
"Webb N.M.; Herman J.L.; Cabello B.","Webb, Noreen M. (7102171983); Herman, Joan L. (7403275946); Cabello, Beverly (6602287829)","7102171983; 7403275946; 6602287829","A Domain‐Referenced Approach to Diagnostic Testing Using Generalizability Theory","1987","Journal of Educational Measurement","24","2","","119","130","11","1","10.1111/j.1745-3984.1987.tb00268.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988112968&doi=10.1111%2fj.1745-3984.1987.tb00268.x&partnerID=40&md5=8af27a1e718967cf0e9d4b8eb1c97063","This paper describes a four‐step approach to constructing diagnostic test profiles that provide precise but practical information on students' instructional needs. The approach is based on the specification and analysis of a domain and uses generalizability theory to determine which skills within the domain need to be assessed to diagnose gaps in students' skills and to estimate score profiles. A 64‐item test of pronoun use was constructed to represent 32 categories of usage defined by different combinations of five factors in the domain. Generalizability analyses were conducted to determine the optimal number of categories to be included in students' profiles and the number of items needed for each category, and to produce univariate and multivariate estimates of students' universe scores. Multivariate profiles of universe scores were the most accurate and differed substantially from observed score and univariate universe score profiles. Copyright © 1987, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84988112968"
