"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Skager R.W.; Klein S.P.; Schultz C.B.","Skager, R.W. (6506117431); Klein, S.P. (7402064499); Schultz, C.B. (25954703700)","6506117431; 7402064499; 25954703700","THE PREDICTION OF ACADEMIC AND ARTISTIC ACHIEVEMENT AT A SCHOOL OF DESIGN","1967","Journal of Educational Measurement","4","2","","105","117","12","5","10.1111/j.1745-3984.1967.tb00577.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982342155&doi=10.1111%2fj.1745-3984.1967.tb00577.x&partnerID=40&md5=d2271155bd5d5d4b279be8da729ece96","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982342155"
"Jacobs S.S.","Jacobs, Stanley S. (7402313169)","7402313169","BIAS IN THE KEYING OF STANDARDIZED TESTS: A REEXAMINATION","1968","Journal of Educational Measurement","5","4","","335","336","1","1","10.1111/j.1745-3984.1968.tb00649.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982337360&doi=10.1111%2fj.1745-3984.1968.tb00649.x&partnerID=40&md5=f5ff3c075accaa34d1e239448721f90b","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982337360"
"CARVER R.P.","CARVER, RONALD P. (7005570366)","7005570366","A MODEL FOR USING THE FINAL EXAMINATION AS A MEASURE OF THE AMOUNT LEARNED IN CLASSROOM LEARNING","1969","Journal of Educational Measurement","6","2","","59","68","9","2","10.1111/j.1745-3984.1969.tb00660.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982340098&doi=10.1111%2fj.1745-3984.1969.tb00660.x&partnerID=40&md5=40c2b25721844cd63c0255e9661d2262","A student's score on the final examination in a classroom learning situation does not necessarily represent the amount learned during the course. Various measures of gain have been advanced to measure the amount learned, but all have subsequently been found inadequate. It is hypothesized that the relationship between test scores and knowledge is curvilinear. A rationale is presented for the curvilinear nature of the posited relationship and for the fit of the model to classroom learning. From hypothetical data conforming to the model expressed in a mathematical formula, it was shown that it is possible for the final examination to be the best indicant of amount learned, even though individuals are not equal in proficiency at the beginning of the learning task. Based upon several considerations it was concluded that, at present, the best indicant of amount learned in many classroom situations is the final examination. Copyright © 1969, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84982340098"
"Braun J.R.; LaFaro D.","Braun, John R. (7403051571); LaFaro, Dolores (6506128056)","7403051571; 6506128056","EFFECTS OF A GOOD IMPRESSION SET ON THE THORNDIKE DIMENSIONS OF TEMPERAMENT","1967","Journal of Educational Measurement","4","4","","237","240","3","1","10.1111/j.1745-3984.1967.tb00592.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982343240&doi=10.1111%2fj.1745-3984.1967.tb00592.x&partnerID=40&md5=45c84b717b50dab480c85313b060ecaa","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982343240"
"Klein S.P.; Rock D.A.; Evans F.R.","Klein, Stephen P. (7402064499); Rock, Donald A. (7102591023); Evans, Franklin R. (7103220085)","7402064499; 7102591023; 7103220085","THE USE OF MULTIPLE MODERATORS IN ACADEMIC PREDICTION","1968","Journal of Educational Measurement","5","2","","151","160","9","5","10.1111/j.1745-3984.1968.tb00618.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982342554&doi=10.1111%2fj.1745-3984.1968.tb00618.x&partnerID=40&md5=9240e2a63f08b2540279dd8ef9bb6dae","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982342554"
"BOWERS J.","BOWERS, JOHN (56951937400)","56951937400","INTERACTIVE EFFECTS OF CREATIVITY AND IQ ON NINTH‐GRADE ACHIEVEMENT","1969","Journal of Educational Measurement","6","3","","173","177","4","1","10.1111/j.1745-3984.1969.tb00675.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982342710&doi=10.1111%2fj.1745-3984.1969.tb00675.x&partnerID=40&md5=9ff3370088a34315661ca2bf02005d7d","The interactive effects of IQ and creativity upon ninth‐grade achievement were examined, with special focus upon the IQ threshold concept of Torrance He hypothesized that achievement is predicted better by IQ than by creativity below the IQ threshold, while IQ validity decreases as creativity validity increases above the threshold. This implies an IQ X Creativity interactive effect on achievement. If an IQ threshold exists, regression weights for IQ X Creativity interactive predictors should be statistically significant when included in multiple regression equations. Three creativity factor scores were estimated and were each multiplied by IQ to define three moderated or interactive predictor variables. A slight though statistically significant increase in validity resulted by adding the moderated variables to IQ and the three factor scores in multiple regression equations. Thus, there was weak support for the existence of an IQ threshold, but the regression of achievement on creativity decreased rather than increased with higher IQ. Copyright © 1969, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84982342710"
"FLAUGHER R.L.; ROCK D.A.","FLAUGHER, RONALD L. (23085691400); ROCK, DONALD A. (7102591023)","23085691400; 7102591023","A MULTIPLE MODERATOR APPROACH TO THE IDENTIFICATION OF OVER‐ AND UNDERACHIEVERS","1969","Journal of Educational Measurement","6","4","","223","228","5","2","10.1111/j.1745-3984.1969.tb00680.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982336702&doi=10.1111%2fj.1745-3984.1969.tb00680.x&partnerID=40&md5=1fadc94300e6b5a5198ce6dcb10b88af","Reported is a study of over‐ and underachievement of college students, utilizing an iterative multiple moderator technique. The subjects were students at a large southwestern university, the predictors were high school rank and short forms of the Scholastic Aptitude Test, and the criterion was first year grade average. Selected background variables were the potential moderators. The overachievers were characterized as having average aptitude, yet coming from backgrounds where the father was highly educated; the underachievers were observed as having small town origins and high interest in extracurricular activities. Copyright © 1969, Wiley Blackwell. All rights reserved","","","Article","Final","","Scopus","2-s2.0-84982336702"
"Crawford W.R.","Crawford, William R. (57188919944)","57188919944","ITEM DIFFICULTY AS RELATED TO THE COMPLEXITY OF INTELLECTUAL PROCESSES","1968","Journal of Educational Measurement","5","2","","103","107","4","3","10.1111/j.1745-3984.1968.tb00611.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982334000&doi=10.1111%2fj.1745-3984.1968.tb00611.x&partnerID=40&md5=eec5ecc8c40ac3a67efd08b347288fbd","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982334000"
"Mason G.P.; Odeh R.E.","Mason, Geoffrey P. (56947090200); Odeh, Robert E. (6603290458)","56947090200; 6603290458","A SHORT‐CUT FORMULA FOR STANDARD DEVIATION","1968","Journal of Educational Measurement","5","4","","319","320","1","2","10.1111/j.1745-3984.1968.tb00645.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982336829&doi=10.1111%2fj.1745-3984.1968.tb00645.x&partnerID=40&md5=83f80c0ef5befba79946e7271957fcff","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982336829"
"Merenda P.F.; Jackson R.M.","Merenda, Peter F. (7003393135); Jackson, Robert M. (24525787400)","7003393135; 24525787400","RELATIONSHIP BETWEEN FOURTH GRADE AND SEVENTH GRADE PERFORMANCE ON THE IOWA TESTS OF BASIC SKILLS","1968","Journal of Educational Measurement","5","2","","163","165","2","0","10.1111/j.1745-3984.1968.tb00620.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982338687&doi=10.1111%2fj.1745-3984.1968.tb00620.x&partnerID=40&md5=f55b9b0c50a531015da3c984a7b2c46c","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84982338687"
