Authors,Title,Year,Volume,Abstract,Title_spell,Abstract_spell,A_tokens,T_tokens,A_tokens_join,T_tokens_join,lda_0,lda_1,lda_2,lda_3,lda_4,nmf_0,nmf_1,nmf_2,nmf_3,nmf_4
Fitzpatrick A.R.; Yen W.M.,The Psychometric Characteristics of Choice Items,1995,32,"This study investigated the psychometric characteristics of constructed‐response (CR) items referring to choice and non‐choice passages administered to students in Grades 3, 5, and 8. The items were scaled using item response theory (IRT) methodology. The results indicated no consistent differences in the difficulty and discrimination of the items referring to the two types of passages. On the average, students' scale scores on the choice and non‐choice passages were comparable. Finally, the choice passages differed in terms of overall popularity and in their attractiveness to different gender and ethnic groups Copyright © 1995, Wiley Blackwell. All rights reserved",,"This study investigated the psychometric characteristics of constructed‐response (CR) items referring to choice and non‐choice passages administered to students in Grades 3, 5, and 8. The items were scaled using item response theory (IRT) methodology. The results indicated no consistent differences in the difficulty and discrimination of the items referring to the two types of passages. On the average, students' scale scores on the choice and non‐choice passages were comparable. Finally, the choice passages differed in terms of overall popularity and in their attractiveness to different gender and ethnic groups Copyright © 1995, Wiley Blackwell. All rights reserved","['study', 'investigate', 'psychometric', 'characteristic', 'constructed‐response', 'CR', 'item', 'refer', 'choice', 'non‐choice', 'passage', 'administer', 'student', 'Grades', '3', '5', '8', 'item', 'scale', 'item', 'response', 'theory', 'IRT', 'methodology', 'result', 'indicate', 'consistent', 'difference', 'difficulty', 'discrimination', 'item', 'refer', 'type', 'passage', 'average', 'student', 'scale', 'score', 'choice', 'non‐choice', 'passage', 'comparable', 'finally', 'choice', 'passage', 'differ', 'term', 'overall', 'popularity', 'attractiveness', 'different', 'gender', 'ethnic', 'group', 'Copyright', '©', '1995', 'Wiley', 'Blackwell', 'right', 'reserve']",,study investigate psychometric characteristic constructed‐response CR item refer choice non‐choice passage administer student Grades 3 5 8 item scale item response theory IRT methodology result indicate consistent difference difficulty discrimination item refer type passage average student scale score choice non‐choice passage comparable finally choice passage differ term overall popularity attractiveness different gender ethnic group Copyright © 1995 Wiley Blackwell right reserve,,0.030742479590067224,0.03128105562155901,0.0307178467815256,0.030443680767062505,0.8768149372397857,0.0018442427402614767,0.07347741020846085,0.005916564202610995,0.025496179617354335,0.015756647045232625
Gessaroli M.E.; De Champlain A.F.,Using an approximate chi-square statistic to test the number of dimensions underlying the responses to a set of items,1996,33,"An approximate x;2 statistic based on McDonald's (1967) nonlinear factor analytic representation of item response theory was proposed and investigated wah simulated data. The results were compared with Stout's T statistic (Nandakumar & Stout, 1993; Stout, 1987). Unidimensional and tWo-dimensional item response data were simulated under varying levels of sample size, test length, test reliability, and dimension dominance. The approximate X2 statistic had good control over Type I errors when unidimensional data were generated and displayed very good power in identifying the two-dimensional data The performance of the approximate X2 was at least as good as Stout's T statistic in all conditions and was better than Stout's T statistic with smaller sample sizes and shorter tests. Further implications regarding the potential use of nonlinear factor analysis and the approximate X2 in addressing current measurement issues are discussed.",Using an approximate chi-square statistic to test the number of dimensions underlying the responses to a set of items,"An approximate x;2 statistic based on McDonald's (1967) nonlinear factor analytic representation of item response theory was proposed and investigated wah simulated data. The results were compared with Stout's T statistic (Nandakumar & Stout, 1993; Stout, 1987). Unidimensional and tWo-dimensional item response data were simulated under varying levels of sample size, test length, test reliability, and dimension dominance. The approximate X2 statistic had good control over Type I errors when unidimensional data were generated and displayed very good power in identifying the two-dimensional data The performance of the approximate X2 was at least as good as Stout's T statistic in all conditions and was better than Stout's T statistic with smaller sample sizes and shorter tests. Further implications regarding the potential use of nonlinear factor analysis and the approximate X2 in addressing current measurement issues are discussed.","['approximate', 'x2', 'statistic', 'base', 'McDonalds', '1967', 'nonlinear', 'factor', 'analytic', 'representation', 'item', 'response', 'theory', 'propose', 'investigate', 'wah', 'simulate', 'datum', 'result', 'compare', 'Stouts', 'T', 'statistic', 'Nandakumar', 'Stout', '1993', 'Stout', '1987', 'unidimensional', 'tWodimensional', 'item', 'response', 'datum', 'simulate', 'vary', 'level', 'sample', 'size', 'test', 'length', 'test', 'reliability', 'dimension', 'dominance', 'approximate', 'x2', 'statistic', 'good', 'control', 'Type', 'I', 'error', 'unidimensional', 'datum', 'generate', 'display', 'good', 'power', 'identify', 'twodimensional', 'datum', 'performance', 'approximate', 'x2', 'good', 'Stouts', 'T', 'statistic', 'condition', 'Stouts', 'T', 'statistic', 'small', 'sample', 'size', 'short', 'test', 'implication', 'regard', 'potential', 'nonlinear', 'factor', 'analysis', 'approximate', 'x2', 'address', 'current', 'issue', 'discuss']","['approximate', 'chisquare', 'statistic', 'test', 'number', 'dimension', 'underlie', 'response', 'set', 'item']",approximate x2 statistic base McDonalds 1967 nonlinear factor analytic representation item response theory propose investigate wah simulate datum result compare Stouts T statistic Nandakumar Stout 1993 Stout 1987 unidimensional tWodimensional item response datum simulate vary level sample size test length test reliability dimension dominance approximate x2 statistic good control Type I error unidimensional datum generate display good power identify twodimensional datum performance approximate x2 good Stouts T statistic condition Stouts T statistic small sample size short test implication regard potential nonlinear factor analysis approximate x2 address current issue discuss,approximate chisquare statistic test number dimension underlie response set item,0.02964574449026809,0.02956494796582224,0.02967879459203456,0.029652454986525852,0.8814580579653493,0.04494302790865727,0.02075615427925026,0.007617316011762688,0.0,0.0012904361951935795
Tate R.L.,Robustness of the School‐Level IRT Model,1995,32,"The robustness of the school‐level item response theoretic (IRT) model to violations of distributional assumptions was studied in a computer simulation. Estimated precision of “expected a posteriori” (EAP) estimates of the mean school ability from BILOG 3 was compared with actual precision, varying school size, intraclass correlation, school ability, number of forms comprising the test, and item parameters. Under conditions where the school‐level precision might be possibly acceptable for real school comparisons, the EAP estimates of school ability were robust over a wide range of violations and conditions, with the estimated precision being either consistent with the actual precision or somewhat conservative. Some lack of robustness was found, however, under conditions where the precision was inherently poor and the test would presumably not be used for serious school comparisons. Copyright © 1995, Wiley Blackwell. All rights reserved",,"The robustness of the school‐level item response theoretic (IRT) model to violations of distributional assumptions was studied in a computer simulation. Estimated precision of “expected a posteriori” (EAP) estimates of the mean school ability from BILOG 3 was compared with actual precision, varying school size, intraclass correlation, school ability, number of forms comprising the test, and item parameters. Under conditions where the school‐level precision might be possibly acceptable for real school comparisons, the EAP estimates of school ability were robust over a wide range of violations and conditions, with the estimated precision being either consistent with the actual precision or somewhat conservative. Some lack of robustness was found, however, under conditions where the precision was inherently poor and the test would presumably not be used for serious school comparisons. Copyright © 1995, Wiley Blackwell. All rights reserved","['robustness', 'school‐level', 'item', 'response', 'theoretic', 'IRT', 'violation', 'distributional', 'assumption', 'study', 'computer', 'simulation', 'estimate', 'precision', '""', 'expect', 'posteriori', '""', 'EAP', 'estimate', 'mean', 'school', 'ability', 'BILOG', '3', 'compare', 'actual', 'precision', 'vary', 'school', 'size', 'intraclass', 'correlation', 'school', 'ability', 'number', 'form', 'comprise', 'test', 'item', 'parameter', 'condition', 'school‐level', 'precision', 'possibly', 'acceptable', 'real', 'school', 'comparison', 'EAP', 'estimate', 'school', 'ability', 'robust', 'wide', 'range', 'violation', 'condition', 'estimate', 'precision', 'consistent', 'actual', 'precision', 'somewhat', 'conservative', 'lack', 'robustness', 'find', 'condition', 'precision', 'inherently', 'poor', 'test', 'presumably', 'school', 'comparison', 'Copyright', '©', '1995', 'Wiley', 'Blackwell', 'right', 'reserve']",,"robustness school‐level item response theoretic IRT violation distributional assumption study computer simulation estimate precision "" expect posteriori "" EAP estimate mean school ability BILOG 3 compare actual precision vary school size intraclass correlation school ability number form comprise test item parameter condition school‐level precision possibly acceptable real school comparison EAP estimate school ability robust wide range violation condition estimate precision consistent actual precision somewhat conservative lack robustness find condition precision inherently poor test presumably school comparison Copyright © 1995 Wiley Blackwell right reserve",,0.030282406118420105,0.030142037708942283,0.879847632687188,0.029251629561635534,0.030476293923813957,0.08926276470084218,0.0,0.0,0.0,0.0
Muraki E.,Stepwise analysis of differential item functioning based on multiple-group partial credit model,1999,36,"Bock, Muraki, and Pfeiffenberger (1988) proposed a dichotomous item response theory (IRT) model for the detection of differential item functioning (DIF), and they estimated the IRT parameters and the means and standard deviations of the multiple latent trait distributions. This IRT DIF detection method is extended to the partial credit model (Masters, 1982; Muraki, 1993) and presented as one of the multiple-group IRT models. Uniform and non-uniform DIF items and heterogeneous latent trait distributions were used to generate polytomous responses of multiple groups. The DIF method was applied to this simulated data using a stepwise procedure. The standardized DIF measures for slope and item location parameters successfully detected the non-uniform and uniform DIF items as well as recovered the means and standard deviations of the latent trait distributions. This stepwise DIF analysis based on the multiple-group partial credit model was then applied to the National Assessment of Educational Progress (NAEP) writing trend data.",Stepwise analysis of differential item functioning based on multiple-group partial credit model,"Bock, Muraki, and Pfeiffenberger (1988) proposed a dichotomous item response theory (IRT) model for the detection of differential item functioning (DIF), and they estimated the IRT parameters and the means and standard deviations of the multiple latent trait distributions. This IRT DIF detection method is extended to the partial credit model (Masters, 1982; Muraki, 1993) and presented as one of the multiple-group IRT models. Uniform and non-uniform DIF items and heterogeneous latent trait distributions were used to generate polytomous responses of multiple groups. The DIF method was applied to this simulated data using a stepwise procedure. The standardized DIF measures for slope and item location parameters successfully detected the non-uniform and uniform DIF items as well as recovered the means and standard deviations of the latent trait distributions. This stepwise DIF analysis based on the multiple-group partial credit model was then applied to the National Assessment of Educational Progress (NAEP) writing trend data.","['Bock', 'Muraki', 'Pfeiffenberger', '1988', 'propose', 'dichotomous', 'item', 'response', 'theory', 'IRT', 'detection', 'differential', 'item', 'function', 'DIF', 'estimate', 'IRT', 'parameter', 'mean', 'standard', 'deviation', 'multiple', 'latent', 'trait', 'distribution', 'IRT', 'dif', 'detection', 'method', 'extend', 'partial', 'credit', 'Masters', '1982', 'Muraki', '1993', 'present', 'multiplegroup', 'IRT', 'Uniform', 'nonuniform', 'dif', 'item', 'heterogeneous', 'latent', 'trait', 'distribution', 'generate', 'polytomous', 'response', 'multiple', 'group', 'DIF', 'method', 'apply', 'simulated', 'datum', 'stepwise', 'procedure', 'standardized', 'dif', 'measure', 'slope', 'item', 'location', 'parameter', 'successfully', 'detect', 'nonuniform', 'uniform', 'DIF', 'item', 'recover', 'mean', 'standard', 'deviation', 'latent', 'trait', 'distribution', 'stepwise', 'DIF', 'analysis', 'base', 'multiplegroup', 'partial', 'credit', 'apply', 'National', 'Assessment', 'Educational', 'Progress', 'NAEP', 'write', 'trend', 'datum']","['stepwise', 'analysis', 'differential', 'item', 'function', 'base', 'multiplegroup', 'partial', 'credit']",Bock Muraki Pfeiffenberger 1988 propose dichotomous item response theory IRT detection differential item function DIF estimate IRT parameter mean standard deviation multiple latent trait distribution IRT dif detection method extend partial credit Masters 1982 Muraki 1993 present multiplegroup IRT Uniform nonuniform dif item heterogeneous latent trait distribution generate polytomous response multiple group DIF method apply simulated datum stepwise procedure standardized dif measure slope item location parameter successfully detect nonuniform uniform DIF item recover mean standard deviation latent trait distribution stepwise DIF analysis base multiplegroup partial credit apply National Assessment Educational Progress NAEP write trend datum,stepwise analysis differential item function base multiplegroup partial credit,0.027115867351849843,0.027088437256839633,0.026571740166216,0.026376328651927614,0.892847626573167,0.002803003956287841,0.0,0.18208397986244765,0.023972375366189812,0.0
Allalouf A.; Hambleton R.K.; Sireci S.G.,Identifying the causes of dif in translated verbal items,1999,36,"Translated tests are being used increasingly for assessing the knowledge and skills of individuals who speak different languages. There is little research exploring why translated items sometimes function differently across languages. If the sources of differential item functioning (DIF) across languages could be predicted, it could have important implications on test development, scoring and equating. This study focuses on two questions: ""Is DIF related to item type?"", ""What are the causes of DIF?"" The data were taken from the Israeli Psychometric Entrance Test in Hebrew (source) and Russian (translated). The results indicated that 34% of the items functioned differentially across languages. The analogy items were the most problematic with 65% showing DIF, mostly in favor of the Russian-speaking examinees. The sentence completion items were also a problem (45% DIF). The main reasons for DIF were changes in word difficulty, changes in item format, differences in cultural relevance, and changes in content.",Identifying the causes of dif in translated verbal items,"Translated tests are being used increasingly for assessing the knowledge and skills of individuals who speak different languages. There is little research exploring why translated items sometimes function differently across languages. If the sources of differential item functioning (DIF) across languages could be predicted, it could have important implications on test development, scoring and equating. This study focuses on two questions: ""Is DIF related to item type?"", ""What are the causes of DIF?"" The data were taken from the Israeli Psychometric Entrance Test in Hebrew (source) and Russian (translated). The results indicated that 34% of the items functioned differentially across languages. The analogy items were the most problematic with 65% showing DIF, mostly in favor of the Russian-speaking examinees. The sentence completion items were also a problem (45% DIF). The main reasons for DIF were changes in word difficulty, changes in item format, differences in cultural relevance, and changes in content.","['translate', 'test', 'increasingly', 'assess', 'knowledge', 'skill', 'individual', 'speak', 'different', 'language', 'little', 'research', 'explore', 'translate', 'item', 'function', 'differently', 'language', 'source', 'differential', 'item', 'function', 'DIF', 'language', 'predict', 'important', 'implication', 'test', 'development', 'scoring', 'equate', 'study', 'focus', 'question', 'DIF', 'relate', 'item', 'type', 'cause', 'DIF', 'datum', 'israeli', 'Psychometric', 'Entrance', 'Test', 'hebrew', 'source', 'russian', 'translate', 'result', 'indicate', '34', 'item', 'function', 'differentially', 'language', 'analogy', 'item', 'problematic', '65', 'DIF', 'favor', 'Russianspeaking', 'examine', 'sentence', 'completion', 'item', 'problem', '45', 'dif', 'main', 'reason', 'DIF', 'change', 'word', 'difficulty', 'change', 'item', 'format', 'difference', 'cultural', 'relevance', 'change', 'content']","['identify', 'cause', 'dif', 'translate', 'verbal', 'item']",translate test increasingly assess knowledge skill individual speak different language little research explore translate item function differently language source differential item function DIF language predict important implication test development scoring equate study focus question DIF relate item type cause DIF datum israeli Psychometric Entrance Test hebrew source russian translate result indicate 34 item function differentially language analogy item problematic 65 DIF favor Russianspeaking examine sentence completion item problem 45 dif main reason DIF change word difficulty change item format difference cultural relevance change content,identify cause dif translate verbal item,0.026899039247317184,0.027029927571524393,0.8916848648733208,0.02687942656568155,0.027506741742155977,0.0,0.059380438791280306,0.12877632631338576,0.0,0.0
Bennett R.E.; Morley M.; Quardt D.; Rock D.A.; Singley M.K.; Katz I.R.; Nhouyvanisvong A.,Psychometric and cognitive functioning of an under-determined computer-based response type for quantitative reasoning,1999,36,"We evaluated a computer-delivered response type for measuring quantitative skill. ""Generating Examples"" (GE) presents under-determined problems that can have many right answers. We administered two GE tests that differed in the manipulation of specific item features hypothesized to affect difficulty. Analyses related to internal consistency reliability, external relations, and features contributing to item difficulty, adverse impact, and examinee perceptions. Results showed that GE scores were reasonably reliable but only moderately related to the GRE quantitative section, suggesting the two tests might be tapping somewhat different skills. Item features that increased difficulty included asking examinees to supply more than one correct answer and to identify whether an item was solvable. Gender differences were similar to those found on the GRE quantitative and analytical test sections. Finally, examinees were divided on whether GE items were a fairer indicator of ability than multiple-choice items, but still overwhelmingly preferred to take the more conventional questions.",Psychometric and cognitive functioning of an under-determined computer-based response type for quantitative reasoning,"We evaluated a computer-delivered response type for measuring quantitative skill. ""Generating Examples"" (GE) presents under-determined problems that can have many right answers. We administered two GE tests that differed in the manipulation of specific item features hypothesized to affect difficulty. Analyses related to internal consistency reliability, external relations, and features contributing to item difficulty, adverse impact, and examinee perceptions. Results showed that GE scores were reasonably reliable but only moderately related to the GRE quantitative section, suggesting the two tests might be tapping somewhat different skills. Item features that increased difficulty included asking examinees to supply more than one correct answer and to identify whether an item was solvable. Gender differences were similar to those found on the GRE quantitative and analytical test sections. Finally, examinees were divided on whether GE items were a fairer indicator of ability than multiple-choice items, but still overwhelmingly preferred to take the more conventional questions.","['evaluate', 'computerdelivered', 'response', 'type', 'measure', 'quantitative', 'skill', 'Generating', 'Examples', 'GE', 'present', 'underdetermined', 'problem', 'right', 'answer', 'administer', 'GE', 'test', 'differ', 'manipulation', 'specific', 'item', 'feature', 'hypothesize', 'affect', 'difficulty', 'Analyses', 'relate', 'internal', 'consistency', 'reliability', 'external', 'relation', 'feature', 'contribute', 'item', 'difficulty', 'adverse', 'impact', 'examinee', 'perception', 'result', 'GE', 'score', 'reasonably', 'reliable', 'moderately', 'relate', 'GRE', 'quantitative', 'section', 'suggest', 'test', 'tap', 'somewhat', 'different', 'skill', 'Item', 'feature', 'increase', 'difficulty', 'include', 'asking', 'examine', 'supply', 'correct', 'answer', 'identify', 'item', 'solvable', 'Gender', 'difference', 'similar', 'find', 'GRE', 'quantitative', 'analytical', 'test', 'section', 'finally', 'examine', 'divide', 'GE', 'item', 'fair', 'indicator', 'ability', 'multiplechoice', 'item', 'overwhelmingly', 'prefer', 'conventional', 'question']","['psychometric', 'cognitive', 'functioning', 'underdetermined', 'computerbase', 'response', 'type', 'quantitative', 'reasoning']",evaluate computerdelivered response type measure quantitative skill Generating Examples GE present underdetermined problem right answer administer GE test differ manipulation specific item feature hypothesize affect difficulty Analyses relate internal consistency reliability external relation feature contribute item difficulty adverse impact examinee perception result GE score reasonably reliable moderately relate GRE quantitative section suggest test tap somewhat different skill Item feature increase difficulty include asking examine supply correct answer identify item solvable Gender difference similar find GRE quantitative analytical test section finally examine divide GE item fair indicator ability multiplechoice item overwhelmingly prefer conventional question,psychometric cognitive functioning underdetermined computerbase response type quantitative reasoning,0.025005887022360153,0.8995176354162422,0.025199794714270328,0.024855959009824895,0.025420723837302366,0.0,0.12713968478051216,0.0,0.0020820174522266227,0.0
Veldkamp B.P.,Multiple objective test assembly problems,1999,36,"Mathematical programming techniques for optimal test assembly are discussed. Most methods optimize a single objective: for instance, the amount of information in a test, subject to a number of constraints. However, some test assembly problems have multiple objectives. A recent example in the literature is the problem of assembling test that measure multiple traits, where the amount of information in the test about each different trait has to be maximized. The present paper proposes methods appropriate for solving multiple objective test assembly problems. An overview of multiple objective optimization methods is given. The impact of the method on the optimality of the solution is shown and the appropriateness of the methods is discussed. The methods are illustrated using an empirical example of a test assembly problem for a two-dimensional mathematics item pool.",,"Mathematical programming techniques for optimal test assembly are discussed. Most methods optimize a single objective: for instance, the amount of information in a test, subject to a number of constraints. However, some test assembly problems have multiple objectives. A recent example in the literature is the problem of assembling test that measure multiple traits, where the amount of information in the test about each different trait has to be maximized. The present paper proposes methods appropriate for solving multiple objective test assembly problems. An overview of multiple objective optimization methods is given. The impact of the method on the optimality of the solution is shown and the appropriateness of the methods is discussed. The methods are illustrated using an empirical example of a test assembly problem for a two-dimensional mathematics item pool.","['mathematical', 'programming', 'technique', 'optimal', 'test', 'assembly', 'discuss', 'Most', 'method', 'optimize', 'single', 'objective', 'instance', 'information', 'test', 'subject', 'number', 'constraint', 'test', 'assembly', 'problem', 'multiple', 'objective', 'recent', 'example', 'literature', 'problem', 'assemble', 'test', 'measure', 'multiple', 'trait', 'information', 'test', 'different', 'trait', 'maximize', 'present', 'paper', 'propose', 'method', 'appropriate', 'solve', 'multiple', 'objective', 'test', 'assembly', 'problem', 'overview', 'multiple', 'objective', 'optimization', 'method', 'impact', 'method', 'optimality', 'solution', 'appropriateness', 'method', 'discuss', 'method', 'illustrate', 'empirical', 'example', 'test', 'assembly', 'problem', 'twodimensional', 'mathematic', 'item', 'pool']",,mathematical programming technique optimal test assembly discuss Most method optimize single objective instance information test subject number constraint test assembly problem multiple objective recent example literature problem assemble test measure multiple trait information test different trait maximize present paper propose method appropriate solve multiple objective test assembly problem overview multiple objective optimization method impact method optimality solution appropriateness method discuss method illustrate empirical example test assembly problem twodimensional mathematic item pool,,0.03120814948715977,0.031160703099065584,0.8744642118896283,0.03094793199660994,0.03221900352753637,0.0011528451186912426,0.05608356894327786,0.006922414889623759,0.05652809821951178,0.005424305662164086
Van Der Linden W.J.; Adema J.J.,Simultaneous assembly of multiple test forms,1998,35,"An algorithm for the assembly of multiple test forms is proposed in which the multiple-form problem is reduced to a series of computationally less intensive two-form problems. At each step, one form is assembled to its true specifications; the other form is a dummy assembled only to maintain a balance between the quality of the current form and the remaining forms. It is shown how the method can be implemented using the technique of 0-1 linear programming. Two empirical examples using a former item pool from the LSAT are given - one in which a set of parallel forms is assembled and another in which the targets for the information functions of the forms are shifted systematically.",,"An algorithm for the assembly of multiple test forms is proposed in which the multiple-form problem is reduced to a series of computationally less intensive two-form problems. At each step, one form is assembled to its true specifications; the other form is a dummy assembled only to maintain a balance between the quality of the current form and the remaining forms. It is shown how the method can be implemented using the technique of 0-1 linear programming. Two empirical examples using a former item pool from the LSAT are given - one in which a set of parallel forms is assembled and another in which the targets for the information functions of the forms are shifted systematically.","['algorithm', 'assembly', 'multiple', 'test', 'form', 'propose', 'multipleform', 'problem', 'reduce', 'series', 'computationally', 'intensive', 'twoform', 'problem', 'step', 'form', 'assemble', 'true', 'specification', 'form', 'dummy', 'assemble', 'maintain', 'balance', 'quality', 'current', 'form', 'remain', 'form', 'method', 'implement', 'technique', '01', 'linear', 'program', 'empirical', 'example', 'item', 'pool', 'LSAT', 'set', 'parallel', 'form', 'assemble', 'target', 'information', 'function', 'form', 'shift', 'systematically']",,algorithm assembly multiple test form propose multipleform problem reduce series computationally intensive twoform problem step form assemble true specification form dummy assemble maintain balance quality current form remain form method implement technique 01 linear program empirical example item pool LSAT set parallel form assemble target information function form shift systematically,,0.03186021146038989,0.03163530897435762,0.8728193891155421,0.03149882169508391,0.03218626875462649,0.04650115197712713,0.013415763411937108,0.0,0.0021151026914275847,0.0
Feldt L.S.,Estimation of the Reliability of Differences Under Revised Reliabilities of Component Scores,1995,32,"Projecting the changes in the reliability of a difference score (d =× ‐ Y) as a consequence of changes in the reliabilities of Xand Y does not represent a straightforward application of the Spearman‐Brown formula. Formulas are developed for estimating the changes in the reliability of X‐Yunder two possible assumptions: (a) ×and Y have equal variances both before and after their reliabilities are altered, and (b) ×and Y have unequal variances before and after×and Y are modified. The second of these situations, which includes the first as a special case, is probably the more common. Copyright © 1995, Wiley Blackwell. All rights reserved",Estimation of the Reliability of Differences Under Revised Reliabilities of Component Scores,"Projecting the changes in the reliability of a difference score (d =× ‐ Y) as a consequence of changes in the reliabilities of Xand Y does not represent a straightforward application of the Spearman‐Brown formula. Formulas are developed for estimating the changes in the reliability of X‐Yunder two possible assumptions: (a) ×and Y have equal variances both before and after their reliabilities are altered, and (b) ×and Y have unequal variances before and after×and Y are modified. The second of these situations, which includes the first as a special case, is probably the more common. Copyright © 1995, Wiley Blackwell. All rights reserved","['project', 'change', 'reliability', 'difference', 'score', 'd', '×', '‐', 'y', 'consequence', 'change', 'reliability', 'Xand', 'Y', 'represent', 'straightforward', 'application', 'Spearman‐Brown', 'formula', 'Formulas', 'develop', 'estimate', 'change', 'reliability', 'x‐yunder', 'possible', 'assumption', '×and', 'Y', 'equal', 'variance', 'reliability', 'alter', 'b', '×and', 'Y', 'unequal', 'variance', 'after×and', 'Y', 'modify', 'second', 'situation', 'include', 'special', 'case', 'probably', 'common', 'copyright', '©', '1995', 'Wiley', 'Blackwell', 'right', 'reserve']","['estimation', 'Reliability', 'Differences', 'Revised', 'Reliabilities', 'Component', 'Scores']",project change reliability difference score d × ‐ y consequence change reliability Xand Y represent straightforward application Spearman‐Brown formula Formulas develop estimate change reliability x‐yunder possible assumption ×and Y equal variance reliability alter b ×and Y unequal variance after×and Y modify second situation include special case probably common copyright © 1995 Wiley Blackwell right reserve,estimation Reliability Differences Revised Reliabilities Component Scores,0.034296625857831615,0.03391170840145847,0.8636919521710698,0.033642156439505695,0.03445755713013454,0.0,0.022105005962158794,0.0,0.05698086719841764,0.0038907585986772326
Pommerich M.; Nicewander W.A.; Hanson B.A.,Estimating average domain scores,1999,36,"A simulation study was performed to determine whether a group's average percent correct in a content domain could be accurately estimated for groups taking a single test form and not the entire domain of items. Six Item Response Theory-based domain score estimation methods were evaluated, under conditions of few items per content area perform taken, small domains, and small group sizes. The methods used item responses to a single form taken to estimate examinee or group ability; domain scores were then computed using the ability estimates and domain item characteristics. The IRT-based domain score estimates typically showed greater accuracy and greater consistency across forms taken than observed performance on the form taken. For the smallest group size and least number of items taken, the accuracy of most IRT-based estimates was questionable; however, a procedure that operates on an estimated distribution of group ability showed promise under most conditions.",,"A simulation study was performed to determine whether a group's average percent correct in a content domain could be accurately estimated for groups taking a single test form and not the entire domain of items. Six Item Response Theory-based domain score estimation methods were evaluated, under conditions of few items per content area perform taken, small domains, and small group sizes. The methods used item responses to a single form taken to estimate examinee or group ability; domain scores were then computed using the ability estimates and domain item characteristics. The IRT-based domain score estimates typically showed greater accuracy and greater consistency across forms taken than observed performance on the form taken. For the smallest group size and least number of items taken, the accuracy of most IRT-based estimates was questionable; however, a procedure that operates on an estimated distribution of group ability showed promise under most conditions.","['simulation', 'study', 'perform', 'determine', 'group', 'average', 'percent', 'correct', 'content', 'domain', 'accurately', 'estimate', 'group', 'single', 'test', 'form', 'entire', 'domain', 'item', 'Item', 'Response', 'theorybase', 'domain', 'score', 'estimation', 'method', 'evaluate', 'condition', 'item', 'content', 'area', 'perform', 'small', 'domain', 'small', 'group', 'size', 'method', 'item', 'response', 'single', 'form', 'estimate', 'examinee', 'group', 'ability', 'domain', 'score', 'compute', 'ability', 'estimate', 'domain', 'item', 'characteristic', 'irtbased', 'domain', 'score', 'estimate', 'typically', 'great', 'accuracy', 'great', 'consistency', 'form', 'observed', 'performance', 'form', 'small', 'group', 'size', 'number', 'item', 'accuracy', 'irtbased', 'estimate', 'questionable', 'procedure', 'operate', 'estimate', 'distribution', 'group', 'ability', 'promise', 'condition']",,simulation study perform determine group average percent correct content domain accurately estimate group single test form entire domain item Item Response theorybase domain score estimation method evaluate condition item content area perform small domain small group size method item response single form estimate examinee group ability domain score compute ability estimate domain item characteristic irtbased domain score estimate typically great accuracy great consistency form observed performance form small group size number item accuracy irtbased estimate questionable procedure operate estimate distribution group ability promise condition,,0.8711091650313679,0.03213303362875782,0.03216674932752297,0.03167897043557749,0.03291208157677385,0.11069653963009948,0.0,0.0057137121220834485,0.028654601844544558,0.0
