Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Fitzpatrick A.R.; Yen W.M.,"Fitzpatrick, Anne R. (7004620831); Yen, Wendy M. (7102684621)",7004620831; 7102684621,The Psychometric Characteristics of Choice Items,1995,Journal of Educational Measurement,32,3,,243,259,16,15,10.1111/j.1745-3984.1995.tb00465.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988112838&doi=10.1111%2fj.1745-3984.1995.tb00465.x&partnerID=40&md5=b23a4877c75166e153da00d265fbf5dd,"This study investigated the psychometric characteristics of constructed‐response (CR) items referring to choice and non‐choice passages administered to students in Grades 3, 5, and 8. The items were scaled using item response theory (IRT) methodology. The results indicated no consistent differences in the difficulty and discrimination of the items referring to the two types of passages. On the average, students' scale scores on the choice and non‐choice passages were comparable. Finally, the choice passages differed in terms of overall popularity and in their attractiveness to different gender and ethnic groups Copyright © 1995, Wiley Blackwell. All rights reserved",,,Article,Final,,Scopus,2-s2.0-84988112838
Gessaroli M.E.; De Champlain A.F.,"Gessaroli, Marc E. (6701480991); De Champlain, André F. (7003989462)",6701480991; 7003989462,Using an approximate chi-square statistic to test the number of dimensions underlying the responses to a set of items,1996,Journal of Educational Measurement,33,2,,157,179,22,52,10.1111/j.1745-3984.1996.tb00487.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030170743&doi=10.1111%2fj.1745-3984.1996.tb00487.x&partnerID=40&md5=1f54affcb91a7ef9191af78aec338475,"An approximate x;2 statistic based on McDonald's (1967) nonlinear factor analytic representation of item response theory was proposed and investigated wah simulated data. The results were compared with Stout's T statistic (Nandakumar & Stout, 1993; Stout, 1987). Unidimensional and tWo-dimensional item response data were simulated under varying levels of sample size, test length, test reliability, and dimension dominance. The approximate X2 statistic had good control over Type I errors when unidimensional data were generated and displayed very good power in identifying the two-dimensional data The performance of the approximate X2 was at least as good as Stout's T statistic in all conditions and was better than Stout's T statistic with smaller sample sizes and shorter tests. Further implications regarding the potential use of nonlinear factor analysis and the approximate X2 in addressing current measurement issues are discussed.",,,Article,Final,,Scopus,2-s2.0-0030170743
Tate R.L.,"Tate, Richard L. (7102471183)",7102471183,Robustness of the School‐Level IRT Model,1995,Journal of Educational Measurement,32,2,,145,162,17,7,10.1111/j.1745-3984.1995.tb00460.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988077104&doi=10.1111%2fj.1745-3984.1995.tb00460.x&partnerID=40&md5=c19d54b87cf84f6db34c5356ce302a73,"The robustness of the school‐level item response theoretic (IRT) model to violations of distributional assumptions was studied in a computer simulation. Estimated precision of “expected a posteriori” (EAP) estimates of the mean school ability from BILOG 3 was compared with actual precision, varying school size, intraclass correlation, school ability, number of forms comprising the test, and item parameters. Under conditions where the school‐level precision might be possibly acceptable for real school comparisons, the EAP estimates of school ability were robust over a wide range of violations and conditions, with the estimated precision being either consistent with the actual precision or somewhat conservative. Some lack of robustness was found, however, under conditions where the precision was inherently poor and the test would presumably not be used for serious school comparisons. Copyright © 1995, Wiley Blackwell. All rights reserved",,,Article,Final,,Scopus,2-s2.0-84988077104
Muraki E.,"Muraki, Eiji (6701455467)",6701455467,Stepwise analysis of differential item functioning based on multiple-group partial credit model,1999,Journal of Educational Measurement,36,3,,217,232,15,20,10.1111/j.1745-3984.1999.tb00555.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033246636&doi=10.1111%2fj.1745-3984.1999.tb00555.x&partnerID=40&md5=13f9db66da6ac4804dfc6f04d7087659,"Bock, Muraki, and Pfeiffenberger (1988) proposed a dichotomous item response theory (IRT) model for the detection of differential item functioning (DIF), and they estimated the IRT parameters and the means and standard deviations of the multiple latent trait distributions. This IRT DIF detection method is extended to the partial credit model (Masters, 1982; Muraki, 1993) and presented as one of the multiple-group IRT models. Uniform and non-uniform DIF items and heterogeneous latent trait distributions were used to generate polytomous responses of multiple groups. The DIF method was applied to this simulated data using a stepwise procedure. The standardized DIF measures for slope and item location parameters successfully detected the non-uniform and uniform DIF items as well as recovered the means and standard deviations of the latent trait distributions. This stepwise DIF analysis based on the multiple-group partial credit model was then applied to the National Assessment of Educational Progress (NAEP) writing trend data.",,,Article,Final,,Scopus,2-s2.0-0033246636
Allalouf A.; Hambleton R.K.; Sireci S.G.,"Allalouf, Avi (6603644062); Hambleton, Ronald K. (7006242264); Sireci, Stephen G. (6701491909)",6603644062; 7006242264; 6701491909,Identifying the causes of dif in translated verbal items,1999,Journal of Educational Measurement,36,3,,185,198,13,103,10.1111/j.1745-3984.1999.tb00553.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033246631&doi=10.1111%2fj.1745-3984.1999.tb00553.x&partnerID=40&md5=8c5c066f22dfc0ed6ddd94f5545c838d,"Translated tests are being used increasingly for assessing the knowledge and skills of individuals who speak different languages. There is little research exploring why translated items sometimes function differently across languages. If the sources of differential item functioning (DIF) across languages could be predicted, it could have important implications on test development, scoring and equating. This study focuses on two questions: ""Is DIF related to item type?"", ""What are the causes of DIF?"" The data were taken from the Israeli Psychometric Entrance Test in Hebrew (source) and Russian (translated). The results indicated that 34% of the items functioned differentially across languages. The analogy items were the most problematic with 65% showing DIF, mostly in favor of the Russian-speaking examinees. The sentence completion items were also a problem (45% DIF). The main reasons for DIF were changes in word difficulty, changes in item format, differences in cultural relevance, and changes in content.",,,Article,Final,,Scopus,2-s2.0-0033246631
Bennett R.E.; Morley M.; Quardt D.; Rock D.A.; Singley M.K.; Katz I.R.; Nhouyvanisvong A.,"Bennett, Randy Elliot (7402440584); Morley, Mary (7006568342); Quardt, Dennis (6507339710); Rock, Donald A. (7102591023); Singley, Mark K. (6603614741); Katz, Irvin R. (7101824537); Nhouyvanisvong, Adisack (6507666546)",7402440584; 7006568342; 6507339710; 7102591023; 6603614741; 7101824537; 6507666546,Psychometric and cognitive functioning of an under-determined computer-based response type for quantitative reasoning,1999,Journal of Educational Measurement,36,3,,233,252,19,19,10.1111/j.1745-3984.1999.tb00556.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033246633&doi=10.1111%2fj.1745-3984.1999.tb00556.x&partnerID=40&md5=108755f2b0e000277c4264495563e439,"We evaluated a computer-delivered response type for measuring quantitative skill. ""Generating Examples"" (GE) presents under-determined problems that can have many right answers. We administered two GE tests that differed in the manipulation of specific item features hypothesized to affect difficulty. Analyses related to internal consistency reliability, external relations, and features contributing to item difficulty, adverse impact, and examinee perceptions. Results showed that GE scores were reasonably reliable but only moderately related to the GRE quantitative section, suggesting the two tests might be tapping somewhat different skills. Item features that increased difficulty included asking examinees to supply more than one correct answer and to identify whether an item was solvable. Gender differences were similar to those found on the GRE quantitative and analytical test sections. Finally, examinees were divided on whether GE items were a fairer indicator of ability than multiple-choice items, but still overwhelmingly preferred to take the more conventional questions.",,,Article,Final,,Scopus,2-s2.0-0033246633
Veldkamp B.P.,"Veldkamp, Bernard P. (6602896542)",6602896542,Multiple objective test assembly problems,1999,Journal of Educational Measurement,36,3,,253,266,13,35,10.1111/j.1745-3984.1999.tb00557.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033246632&doi=10.1111%2fj.1745-3984.1999.tb00557.x&partnerID=40&md5=ab96756591f0e6c0736fa8d4209b71d3,"Mathematical programming techniques for optimal test assembly are discussed. Most methods optimize a single objective: for instance, the amount of information in a test, subject to a number of constraints. However, some test assembly problems have multiple objectives. A recent example in the literature is the problem of assembling test that measure multiple traits, where the amount of information in the test about each different trait has to be maximized. The present paper proposes methods appropriate for solving multiple objective test assembly problems. An overview of multiple objective optimization methods is given. The impact of the method on the optimality of the solution is shown and the appropriateness of the methods is discussed. The methods are illustrated using an empirical example of a test assembly problem for a two-dimensional mathematics item pool.",,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-0033246632
Van Der Linden W.J.; Adema J.J.,"Van Der Linden, Wim J. (55409657500); Adema, Jos J. (6603281237)",55409657500; 6603281237,Simultaneous assembly of multiple test forms,1998,Journal of Educational Measurement,35,3,,185,198,13,43,10.1111/j.1745-3984.1998.tb00533.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032148327&doi=10.1111%2fj.1745-3984.1998.tb00533.x&partnerID=40&md5=ae424b2c03e7e4e105f044a0ee438aeb,"An algorithm for the assembly of multiple test forms is proposed in which the multiple-form problem is reduced to a series of computationally less intensive two-form problems. At each step, one form is assembled to its true specifications; the other form is a dummy assembled only to maintain a balance between the quality of the current form and the remaining forms. It is shown how the method can be implemented using the technique of 0-1 linear programming. Two empirical examples using a former item pool from the LSAT are given - one in which a set of parallel forms is assembled and another in which the targets for the information functions of the forms are shifted systematically.",,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-0032148327
Feldt L.S.,"Feldt, Leonard S. (7003911114)",7003911114,Estimation of the Reliability of Differences Under Revised Reliabilities of Component Scores,1995,Journal of Educational Measurement,32,3,,295,301,6,2,10.1111/j.1745-3984.1995.tb00468.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988057851&doi=10.1111%2fj.1745-3984.1995.tb00468.x&partnerID=40&md5=93b5a220fed7cf4c6c540b5016c978e4,"Projecting the changes in the reliability of a difference score (d =× ‐ Y) as a consequence of changes in the reliabilities of Xand Y does not represent a straightforward application of the Spearman‐Brown formula. Formulas are developed for estimating the changes in the reliability of X‐Yunder two possible assumptions: (a) ×and Y have equal variances both before and after their reliabilities are altered, and (b) ×and Y have unequal variances before and after×and Y are modified. The second of these situations, which includes the first as a special case, is probably the more common. Copyright © 1995, Wiley Blackwell. All rights reserved",,,Article,Final,,Scopus,2-s2.0-84988057851
Pommerich M.; Nicewander W.A.; Hanson B.A.,"Pommerich, Mary (6602421150); Nicewander, W. Alan (6601997483); Hanson, Bradley A. (7102036381)",6602421150; 6601997483; 7102036381,Estimating average domain scores,1999,Journal of Educational Measurement,36,3,,199,216,17,7,10.1111/j.1745-3984.1999.tb00554.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033196698&doi=10.1111%2fj.1745-3984.1999.tb00554.x&partnerID=40&md5=03dc02232e08d62a6b8232568673ddfb,"A simulation study was performed to determine whether a group's average percent correct in a content domain could be accurately estimated for groups taking a single test form and not the entire domain of items. Six Item Response Theory-based domain score estimation methods were evaluated, under conditions of few items per content area perform taken, small domains, and small group sizes. The methods used item responses to a single form taken to estimate examinee or group ability; domain scores were then computed using the ability estimates and domain item characteristics. The IRT-based domain score estimates typically showed greater accuracy and greater consistency across forms taken than observed performance on the form taken. For the smallest group size and least number of items taken, the accuracy of most IRT-based estimates was questionable; however, a procedure that operates on an estimated distribution of group ability showed promise under most conditions.",,,Article,Final,,Scopus,2-s2.0-0033196698
