Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Güler N.; Penfield R.D.,"Güler, Neşe (34768155700); Penfield, Randall D. (6601923478)",34768155700; 6601923478,A comparison of the logistic regression and contingency table methods for simultaneous detection of uniform and nonuniform dif,2009,Journal of Educational Measurement,46,3,,314,329,15,20,10.1111/j.1745-3984.2009.00083.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69749092277&doi=10.1111%2fj.1745-3984.2009.00083.x&partnerID=40&md5=98a2613f407a5e4f752614bca022852f,"In this study, we investigate the logistic regression (LR), Mantel-Haenszel (MH), and Breslow-Day (BD) procedures for the simultaneous detection of both uniform and nonuniform differential item functioning (DIF). A simulation study was used to assess and compare the Type I error rate and power of a combined decision rule (CDR), which assesses DIF using a combination of the decisions made with BD and MH to those of LR. The results revealed that while the Type I error rate of CDR was consistently below the nominal alpha level, the Type I error rate of LR was high for the conditions having unequal ability distributions. In addition, the power of CDR was consistently higher than that of LR across all forms of DIF. © 2009 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-69749092277
Kim S.,"Kim, Seonghoon (23060961000)",23060961000,A comparative study of IRT fixed parameter calibration methods,2006,Journal of Educational Measurement,43,4,,355,381,26,66,10.1111/j.1745-3984.2006.00021.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845423981&doi=10.1111%2fj.1745-3984.2006.00021.x&partnerID=40&md5=350ffeec9114ddd2e19bc84a104cb769,"This article provides technical descriptions of five fixed parameter calibration (FPC) methods, which were based on marginal maximum likelihood estimation via the EM algorithm, and evaluates them through simulation. The five FPC methods described are distinguished from each other by how many times they update the prior ability distribution and by how many EM cycles they use. Specifically, the five FPC methods included no prior weights updating and one EM cycle (NWU-OEM) or multiple EM cycles (NWU-MEM), one prior weights updating and one EM cycle (OWU-OEM) or multiple EM cycles (OWU-MEM), and multiple weights updating and multiple EM cycles (MWU-MEM) methods. All the five FPC methods were evaluated in terms of recovery of the underlying ability distribution and item parameters. An important factor in the simulation was three different ability (normal) distributions - N(0, 1), N(0.5, 1.2 2), and N(1, 1.4 2)-for FPC groups, with the fixed item parameters obtained with a reference N(0, 1) group. Only the MWU-MEM method appeared to perform properly under all the three distributions. Under the N(0, 1) distribution, the NWU-MEM and OWU-MEM methods also appeared to perform properly. Under the N(0.5, 1.2 2), and N(1, 1.4 2) distributions, however, the four methods other than the MWU-MEM method resulted in some or severe under-estimation in the recovery.",,,Article,Final,,Scopus,2-s2.0-33845423981
Dorans N.J.,"Dorans, Neil J. (6602289148)",6602289148,Using subpopulation invariance to assess test score equity,2004,Journal of Educational Measurement,41,1,,43,68,25,71,10.1111/j.1745-3984.2004.tb01158.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142760069&doi=10.1111%2fj.1745-3984.2004.tb01158.x&partnerID=40&md5=27996028dc15e310d782fbf9c570cc9c,"Score equity assessment (SEA) is introduced, and placed within a fair assessment context that includes differential prediction or fair selection and differential item functioning. The notion of subpopulation invariance of linking functions is central to the assessment of score equity, just as it has been for differential item functioning and differential prediction. Advanced Placement (AP) data are used for illustrative purposes. The use of multiple-choice and constructed response items in AP provides an opportunity to observe a case where subpopulation invariance of linking functions does not hold (U.S. History), and a case in which it does hold (Calculus AB). The lack of invariance for U.S. History might be attributed to several sources. The role of SEA in assessing the fairness of test assembly processes is discussed.",,,Article,Final,,Scopus,2-s2.0-3142760069
Finch H.,"Finch, Holmes (12767650300)",12767650300,Comparison of the performance of varimax and promax rotations: Factor structure recovery for dichotomous items,2006,Journal of Educational Measurement,43,1,,39,52,13,117,10.1111/j.1745-3984.2006.00003.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645115335&doi=10.1111%2fj.1745-3984.2006.00003.x&partnerID=40&md5=29af090b5e6489d7727e38143c677cae,"Nonlinear factor analysis is a tool commonly used by measurement specialists to identify both the presence and nature of multidimensionality in a set of test items, an important issue given that standard Item Response Theory models assume a unidimensional latent structure. Results from most factor-analytic algorithms include loading matrices, which are used to link items with factors. Interpretation of the loadings typically occurs after they have been rotated in order to amplify the presence of simple structure. The purpose of this simulation study is to compare the ability of two commonly used methods of rotation, Varimax and Promax, in terms of their ability to correctly link items to factors and to identify the presence of simple structure. Results suggest that the two approaches are equally able to recover the underlying factor structure, regardless of the correlations among the factors, though the oblique method is better able to identify the presence of a ""simple structure."" These results suggest that for identifying which items are associated with which factors, either approach is effective, but that for identifying simple structure when it is present, the oblique method is preferable. © Copyright 2006 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-33645115335
Meyer J.P.; Setzer J.C.,"Meyer, J. Patrick (9278489400); Setzer, J. Carl (26039416900)",9278489400; 26039416900,A comparison of bridging methods in the analysis of NAEP trends with the new race subgroup definitions,2009,Journal of Educational Measurement,46,1,,104,128,24,2,10.1111/j.1745-3984.2009.01071.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-61349197545&doi=10.1111%2fj.1745-3984.2009.01071.x&partnerID=40&md5=dc752bfdbd9121fa930732393b19a311,"Recent changes to federal guidelines for the collection of data on race and ethnicity allow respondents to select multiple race categories. Redefining race subgroups in this manner poses problems for research spanning both sets of definitions. NAEP long-term trends have used the single-race subgroup definitions for over thirty years. Little is known about the effects of redefining race subgroups on these trends. Bridging methods for reconciling the single and multiple race definitions have been developed. These methods treat single-race subgroup membership as unknown or missing. A simulation study was conducted to determine the effectiveness of four bridging methods: multiple imputation logistic regression, multiple imputation probabilistic whole assignment, deterministic whole assignment - smallest group, and deterministic whole assignment - largest group. Only the first of these methods incorporates covariate information about examinees into the bridging procedure. The other three methods only use information contained in the race item response. The simulation took into account the percentage of biracial examinees and the missing data mechanism. Results indicated that the multiple imputation logistic regression was often the best performing method. Given that all K-12 and higher education institutions will be required to use the multiple-race definitions by 2009, implications for No Child Left Behind and other federally mandated reporting are discussed. © 2009 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-61349197545
Gierl M.J.; Leighton J.P.; Tan X.,"Gierl, Mark J. (6701316189); Leighton, Jacqueline P. (7101772605); Tan, Xuan (14067968700)",6701316189; 7101772605; 14067968700,Evaluating DETECT classification accuracy and consistency when data display complex structure,2006,Journal of Educational Measurement,43,3,,265,289,24,8,10.1111/j.1745-3984.2006.00016.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747268078&doi=10.1111%2fj.1745-3984.2006.00016.x&partnerID=40&md5=3fd856eb9926f8a28deeb2f72c119788,"DETECT, the acronym for Dimensionality Evaluation To Enumerate Contributing Traits, is an innovative and relatively new nonparametric dimensionality assessment procedure used to identify mutually exclusive, dimensionally homogeneous clusters of items using a genetic algorithm (Zhang & Stout, 1999). Because the clusters of items are mutually exclusive, this procedure is most useful when the data display approximate simple structure. In many testing situations, however, data display a complex multidimensional structure. The purpose of the current study was to evaluate DETECT item classification accuracy and consistency when the data display different degrees of complex structure using both simulated and real data. Three variables were manipulated in the simulation study: The percentage of items displaying complex structure (10%, 30%, and 50%), the correlation between dimensions (.00, .30, .60, .75, and .90), and the sample size (500, 1,000, and 1,500). The results from the simulation study reveal that DETECT can accurately and consistently cluster items according to their true underlying dimension when as many as 30% of the items display complex structure, if the correlation between dimensions is less than or equal to .75 and the sample size is at least 1,000 examinees. If 50% of the items display complex structure, then the correlation between dimensions should be less than or equal to .60 and the sample size be, at least, 1,000 examinees. When the correlation between dimensions is .90, DETECT does not work well with any complex dimensional structure or sample size. Implications for practice and directions for future research are discussed.",,,Article,Final,,Scopus,2-s2.0-33747268078
Prowker A.; Camilli G.,"Prowker, Adam (16317319100); Camilli, Gregory (7003383989)",16317319100; 7003383989,Looking beyond the overall scores of NAEP assessments: Applications of generalized linear mixed modeling for exploring value-added item difficulty effects,2007,Journal of Educational Measurement,44,1,,69,87,18,4,10.1111/j.1745-3984.2007.00027.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249004367&doi=10.1111%2fj.1745-3984.2007.00027.x&partnerID=40&md5=18b449f6f6c4336d05ae220365326f0f,"The central idea of differential item functioning (DIF) is to examine differences between two groups at the item level while controlling for overall proficiency. This approach is useful for examining hypotheses at a finer-grain level than are permitted by a total test score. The methodology proposed in this paper is also aimed at estimating differences at the item rather than the overall score level, yet with the innovation where item-level differences for many groups simultaneously are the focus. This is a straightforward generalization of DIF as variance rather than one or several group differences; conceptually, this can be referred to as item difficulty variation (IDV). When instruction is of interest, and ""groups"" is a unit at which instruction is determined or delivered, then IDV signals value-added effects that can be influenced by either demographic or instructional variables. © 2007 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-34249004367
Monahan P.O.; Lee W.-C.; Ankenmann R.D.,"Monahan, Patrick O. (35600384300); Lee, Won-Chan (57203094500); Ankenmann, Robert D. (6603355304)",35600384300; 57203094500; 6603355304,Generating dichotomous item scores with the four-parameter beta compound binomial model,2007,Journal of Educational Measurement,44,3,,211,225,14,2,10.1111/j.1745-3984.2007.00035.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547971664&doi=10.1111%2fj.1745-3984.2007.00035.x&partnerID=40&md5=aa01486d65c0013e932e760e03af2bf8,"A Monte Carlo simulation technique for generating dichotomous item scores is presented that implements (a) a psychometric model with different explicit assumptions than traditional parametric item response theory (IRT) models, and (b) item characteristic curves without restrictive assumptions concerning mathematical form. The four-parameter beta compound-binomial (4PBCB) strong true score model (with two-term approximation to the compound binomial) is used to estimate and generate the true score distribution. The nonparametric item-true score step functions are estimated by classical item difficulties conditional on proportion-correct total score. The technique performed very well in replicating inter-item correlations, item statistics (point-biserial correlation coefficients and item proportion-correct difficulties), first four moments of total score distribution, and coefficient alpha of three real data sets consisting of educational achievement test scores. The technique replicated real data (including subsamples of differing proficiency) as well as the three-parameter logistic (3PL) IRT model (and much better than the 1PL model) and is therefore a promising alternative simulation technique. This 4PBCB technique may be particularly useful as a more neutral simulation procedure for comparing methods that use different IRT models. © 2007 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-34547971664
Lockwood J.R.; McCaffrey D.F.; Hamilton L.S.; Stecher B.; Le V.-N.; Martinez J.F.,"Lockwood, J.R. (7102841578); McCaffrey, Daniel F. (7005049755); Hamilton, Laura S. (7101728700); Stecher, Brian (7004000864); Le, Vi-Nhuan (7006849811); Martinez, José Felipe (22958122100)",7102841578; 7005049755; 7101728700; 7004000864; 7006849811; 22958122100,The sensitivity of value-added teacher effect estimates to different mathematics achievement measures,2007,Journal of Educational Measurement,44,1,,47,67,20,102,10.1111/j.1745-3984.2007.00026.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249084724&doi=10.1111%2fj.1745-3984.2007.00026.x&partnerID=40&md5=74d4fc5b89889cfb3b0052673272514b,"Using longitudinal data from a cohort of middle school students from a large school district, we estimate separate ""value-added"" teacher effects for two subscales of a mathematics assessment under a variety of statistical models varying in form and degree of control for student background characteristics. We find that the variation in estimated effects resulting from the different mathematics achievement measures is large relative to variation resulting from choices about model specification, and that the variation within teachers across achievement measures is larger than the variation across teachers. These results suggest that conclusions about individual teachers' performance based on value-added models can be sensitive to the ways in which student achievement is measured. © 2007 by the National Council on Measurement in Education.",,,Article,Final,,Scopus,2-s2.0-34249084724
Wainer H.; Wang X.A.; Skorupski W.P.; Bradlow E.T.,"Wainer, Howard (7006218234); Wang, X.A. (57219369196); Skorupski, William P. (8661013100); Bradlow, Eric T. (7004487843)",7006218234; 57219369196; 8661013100; 7004487843,A Bayesian method for evaluating passing scores: The PPoP curve,2005,Journal of Educational Measurement,42,3,,271,281,10,13,10.1111/j.1745-3984.2005.00014.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644458281&doi=10.1111%2fj.1745-3984.2005.00014.x&partnerID=40&md5=ff0b73244fd74c03373b91eac8fba04d,"In this note, we demonstrate an interesting use of the posterior distributions (and corresponding posterior samples of proficiency) that are yielded by fitting a fully Bayesian test scoring model to a complex assessment. Specifically, we examine the efficacy of the test in combination with the specific passing score that was chosen through expert judgment, or, in general, any external a priori criterion. In addition, we study the robustness of the test's efficacy with respect to choice of the passing score.",,,Article,Final,,Scopus,2-s2.0-24644458281
