Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
Shannon G.A.; Cliver B.A.,An Application of Item Response Theory in the Comparison of Four Conventional Item Discrimination Indices for Criterion‐Referenced Tests,1987,24,"['Application', 'Item', 'Response', 'Theory', 'Comparison', 'Four', 'Conventional', 'Item', 'Discrimination', 'Indices', 'criterion‐reference', 'test']","['application', 'item', 'response', 'theory', 'comparison', 'four', 'conventional', 'item', 'discrimination', 'indices', 'criterion‐reference', 'test']",application item response theory comparison four conventional item discrimination indices criterion‐reference test
Willson V.L.,Cognitive and Developmental Effects on Item Performance in Intelligence and Achievement Tests for Young Children,1989,26,"['cognitive', 'Developmental', 'Effects', 'Item', 'Performance', 'Intelligence', 'Achievement', 'Tests', 'Young', 'Children']","['cognitive', 'developmental', 'effects', 'item', 'performance', 'intelligence', 'achievement', 'tests', 'young', 'children']",cognitive developmental effects item performance intelligence achievement tests young children
McKinley R.L.,A Comparison of Six Methods for Combining Multiple IRT Item Parameter Estimates,1988,25,"['Comparison', 'Six', 'Methods', 'combine', 'Multiple', 'IRT', 'Item', 'Parameter', 'estimate']","['comparison', 'six', 'methods', 'combine', 'multiple', 'irt', 'item', 'parameter', 'estimate']",comparison six methods combine multiple irt item parameter estimate
Strenta A.C.; Elliott R.,Differential Grading Standards Revisited,1987,24,"['Differential', 'Grading', 'Standards', 'revisit']","['differential', 'grading', 'standards', 'revisit']",differential grading standards revisit
Tatsuoka K.K.; Linn R.L.; Tatsuoka M.M.; Yamamoto K.,Differential Item Functioning Resulting From The Use of Different Solution Strategies,1988,25,"['Differential', 'Item', 'Functioning', 'result', 'Use', 'Different', 'Solution', 'strategy']","['differential', 'item', 'functioning', 'result', 'use', 'different', 'solution', 'strategy']",differential item functioning result use different solution strategy
Spray J.A.; Ackerman T.A.; Reckase M.D.; Carlson J.E.,Effect of the Medium of Item Presentation on Examinee Performance and Item Characteristics,1989,26,"['effect', 'Medium', 'Item', 'Presentation', 'Examinee', 'Performance', 'Item', 'Characteristics']","['effect', 'medium', 'item', 'presentation', 'examinee', 'performance', 'item', 'characteristics']",effect medium item presentation examinee performance item characteristics
GULLICKSON A.R.,TEACHER EDUCATION AND TEACHER‐PERCEIVED NEEDS IN EDUCATIONAL MEASUREMENT AND EVALUATION,1986,23,"['teacher', 'TEACHER‐PERCEIVED', 'NEEDS', 'EDUCATIONAL', 'evaluation']","['teacher', 'teacher‐perceived', 'needs', 'educational', 'evaluation']",teacher teacher‐perceived needs educational evaluation
Johnson S.T.; Wallace M.B.,Characteristics of SAT Quantitative Items Showing Improvement After Coaching Among Black Students From Low‐Income Families: An Exploratory Study,1989,26,"['Characteristics', 'SAT', 'Quantitative', 'Items', 'Improvement', 'coach', 'Black', 'Students', 'low‐income', 'Families', 'Exploratory', 'Study']","['characteristics', 'sat', 'quantitative', 'items', 'improvement', 'coach', 'black', 'students', 'low‐income', 'families', 'exploratory', 'study']",characteristics sat quantitative items improvement coach black students low‐income families exploratory study
WAINER H.,CAN A TEST BE TOO RELIABLE?,1986,23,"['test', 'reliable']","['test', 'reliable']",test reliable
Webb N.M.; Herman J.L.; Cabello B.,A Domain‐Referenced Approach to Diagnostic Testing Using Generalizability Theory,1987,24,"['domain‐referenced', 'approach', 'Diagnostic', 'Testing', 'Generalizability', 'Theory']","['domain‐referenced', 'approach', 'diagnostic', 'testing', 'generalizability', 'theory']",domain‐referenced approach diagnostic testing generalizability theory
Norcini J.J.; Lipner R.S.; Langdon L.O.; Strecker C.A.,A Comparison of Three Variations on a Standard‐Setting Method,1987,24,"['Comparison', 'Three', 'Variations', 'Standard‐Setting', 'Method']","['comparison', 'three', 'variations', 'standard‐setting', 'method']",comparison three variations standard‐setting method
Raven J.,The Raven Progressive Matrices: A Review of National Norming Studies and Ethnic and Socioeconomic Variation Within the United States,1989,26,"['Raven', 'Progressive', 'Matrices', 'A', 'Review', 'National', 'Norming', 'Studies', 'Ethnic', 'Socioeconomic', 'Variation', 'United', 'States']","['raven', 'progressive', 'matrices', 'a', 'review', 'national', 'norming', 'studies', 'ethnic', 'socioeconomic', 'variation', 'united', 'states']",raven progressive matrices a review national norming studies ethnic socioeconomic variation united states
Haertel E.H.,Using Restricted Latent Class Models to Map the Skill Structure of Achievement Items,1989,26,"['Restricted', 'Latent', 'Class', 'Models', 'map', 'Skill', 'Structure', 'Achievement', 'Items']","['restricted', 'latent', 'class', 'models', 'map', 'skill', 'structure', 'achievement', 'items']",restricted latent class models map skill structure achievement items
Zeidner M.,Sociocultural Differences in Examinees' Attitudes Toward Scholastic Ability Exams,1988,25,"['Sociocultural', 'Differences', 'Examinees', 'Attitudes', 'Scholastic', 'Ability', 'exam']","['sociocultural', 'differences', 'examinees', 'attitudes', 'scholastic', 'ability', 'exam']",sociocultural differences examinees attitudes scholastic ability exam
